composed_utterance,composed_formulas,base_utterances,base_formulas
"travel first to a and then make your way to b, in addition do not go to a",& F & a F b G ! a,"('travel first to a and then make your way to b', 'do not go to a')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition you can go anywhere but a",& F & a F b G ! a,"('travel first to a and then make your way to b', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition a can not be visited at any time",& F & a F b G ! a,"('travel first to a and then make your way to b', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition always keep away from a",& F & a F b G ! a,"('travel first to a and then make your way to b', 'always keep away from a')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition never visit a",& F & a F b G ! a,"('travel first to a and then make your way to b', 'never visit a')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition you can never go to a",& F & a F b G ! a,"('travel first to a and then make your way to b', 'you can never go to a')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition always stay away from a",& F & a F b G ! a,"('travel first to a and then make your way to b', 'always stay away from a')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition always avoid going to a",& F & a F b G ! a,"('travel first to a and then make your way to b', 'always avoid going to a')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition you have to avoid a at all costs",& F & a F b G ! a,"('travel first to a and then make your way to b', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition make sure you never visit a",& F & a F b G ! a,"('travel first to a and then make your way to b', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition you can not go to a at any time",& F & a F b G ! a,"('travel first to a and then make your way to b', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition avoid going to a",& F & a F b G ! a,"('travel first to a and then make your way to b', 'avoid going to a')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition you must never go to a",& F & a F b G ! a,"('travel first to a and then make your way to b', 'you must never go to a')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition a should never be reached",& F & a F b G ! a,"('travel first to a and then make your way to b', 'a should never be reached')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition a must be avoided",& F & a F b G ! a,"('travel first to a and then make your way to b', 'a must be avoided')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition never visit a",& F & a F b G ! a,"('travel first to a and then make your way to b', 'never visit a')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition you must avoid a at all costs",& F & a F b G ! a,"('travel first to a and then make your way to b', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition you can not go to a",& F & a F b G ! a,"('travel first to a and then make your way to b', 'you can not go to a')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition avoid a forever",& F & a F b G ! a,"('travel first to a and then make your way to b', 'avoid a forever')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition do not make any single visit to a",& F & a F b G ! a,"('travel first to a and then make your way to b', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition you can not go to a",& F & a F b G ! a,"('travel first to a and then make your way to b', 'you can not go to a')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition never let a hold",& F & a F b G ! a,"('travel first to a and then make your way to b', 'never let a hold')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition a should never become true",& F & a F b G ! a,"('travel first to a and then make your way to b', 'a should never become true')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition never go to a",& F & a F b G ! a,"('visit a then visit b', 'never go to a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition do not go to a",& F & a F b G ! a,"('visit a then visit b', 'do not go to a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition you can go anywhere but a",& F & a F b G ! a,"('visit a then visit b', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition a can not be visited at any time",& F & a F b G ! a,"('visit a then visit b', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition always keep away from a",& F & a F b G ! a,"('visit a then visit b', 'always keep away from a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition never visit a",& F & a F b G ! a,"('visit a then visit b', 'never visit a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition you can never go to a",& F & a F b G ! a,"('visit a then visit b', 'you can never go to a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition always stay away from a",& F & a F b G ! a,"('visit a then visit b', 'always stay away from a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition always avoid going to a",& F & a F b G ! a,"('visit a then visit b', 'always avoid going to a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition you have to avoid a at all costs",& F & a F b G ! a,"('visit a then visit b', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition make sure you never visit a",& F & a F b G ! a,"('visit a then visit b', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition you can not go to a at any time",& F & a F b G ! a,"('visit a then visit b', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition avoid going to a",& F & a F b G ! a,"('visit a then visit b', 'avoid going to a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition you must never go to a",& F & a F b G ! a,"('visit a then visit b', 'you must never go to a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition a should never be reached",& F & a F b G ! a,"('visit a then visit b', 'a should never be reached')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition a must be avoided",& F & a F b G ! a,"('visit a then visit b', 'a must be avoided')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition never visit a",& F & a F b G ! a,"('visit a then visit b', 'never visit a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition you must avoid a at all costs",& F & a F b G ! a,"('visit a then visit b', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition you can not go to a",& F & a F b G ! a,"('visit a then visit b', 'you can not go to a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition avoid a forever",& F & a F b G ! a,"('visit a then visit b', 'avoid a forever')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition do not make any single visit to a",& F & a F b G ! a,"('visit a then visit b', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition you can not go to a",& F & a F b G ! a,"('visit a then visit b', 'you can not go to a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition never let a hold",& F & a F b G ! a,"('visit a then visit b', 'never let a hold')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition a should never become true",& F & a F b G ! a,"('visit a then visit b', 'a should never become true')","('F & a F b', 'G ! a')"
